R                       Z                        solid.sr          solid.sz         solid.srz          solid.sphi         u                  w
0.135                     0                        -9.999922940805686       -10.879701880896834      -1.0952539131484813E-5   38.5946455651191         13.345004905764899       0
0.135                     4.081632653061224E-4     -9.999966592361321       -10.879594676827315      1.6045372527327863E-5    38.59446178585747        13.344942973996247       -0.014463510705332978
0.135                     8.163265306122448E-4     -9.99996038468169        -10.87907710793096       5.96600764118223E-6      38.59395708493454        13.344757178753673       -0.0289266456157613
0.135                     0.0012244897959183673    -9.999958675090976       -10.87822681887316       -4.869001064934917E-6    38.59311303253908        13.344447536258807       -0.04338903025132273
0.135                     0.0016326530612244896    -9.999960101776276       -10.877037664834262      -1.622118810896612E-5    38.59193075540236        13.344014070876806       -0.057850284271470424
0.135                     0.002040816326530612     -9.999963540053555       -10.875499449268192      -2.8023552864293052E-5   38.59041194675461        13.343456817404892       -0.07231001885515838
0.135                     0.0024489795918367346    -9.999961874719203       -10.873561144410067      2.081892126255448E-5     38.58856489016602        13.342775821985612       -0.08676783229491868
0.135                     0.002857142857142857     -9.999960393864962       -10.871221589200163      9.04558142399385E-6      38.586389196829955       13.341971145361848       -0.10122330364976699
0.135                     0.0032653061224489793    -9.999960893682264       -10.868482821336562      -3.530470519423349E-6    38.583884565978          13.341042863383063       -0.1156760003422624
0.135                     0.003673469387755102     -9.99996338158913        -10.865323289020186      -1.702664193219511E-5    38.58105430018783        13.339991068094939       -0.13012547023024776
0.135                     0.004081632653061224     -9.99996786042203        -10.861718613755253      -3.1584064431119864E-5   38.57790215837205        13.338815870814711       -0.14457123809074102
0.135                     0.004489795918367346     -9.999967218309          -10.857617412302798      2.7365125933037706E-5    38.57443674346058        13.337517404489862       -0.15901280230480677
0.135                     0.004897959183673469     -9.999966513157496       -10.852954458898662      1.2707249335263469E-5    38.57066696843401        13.33609582645346        -0.17344962334984065
0.135                     0.005306122448979591     -9.999967883848518       -10.847746779560254      -3.314283091335245E-6    38.56659075228687        13.334551330231323       -0.18788113400117407
0.135                     0.005714285714285714     -9.999971391246367       -10.841957064186097      -2.0861495065795496E-5   38.56221400257728        13.332884138465733       -0.20230673377592012
0.135                     0.0061224489795918356    -9.999977103660562       -10.835544892651518      -4.010276347215807E-5    38.557543180176246       13.331094512033555       -0.21672578317446606
0.135                     0.0065306122448979586    -9.999985096380211       -10.828466689528154      -6.120572561344134E-5    38.55258532231557        13.329182755395887       -0.2311376004014139
0.135                     0.0069387755102040816    -9.999974579007095       -10.820562160783416      1.6602209858392787E-5    38.54736686951508        13.32714921849185        -0.24554145078892906
0.135                     0.007346938775510204     -9.999977418892108       -10.811882130119532      -4.918532369699631E-6    38.54187755165515        13.324994321308967       -0.2599365456593097
0.135                     0.007755102040816327     -9.999982740105747       -10.802372363018325      -2.867688794703895E-5    38.53612798093764        13.322718544941972       -0.274322053993993
0.135                     0.008163265306122448     -9.999990655422826       -10.791975580399855      -5.48498762934839E-5     38.530127874356346       13.320322440226564       -0.28869708811656464
0.135                     0.008571428571428572     -10.000001290382825      -10.780631468309384      -8.360803498897461E-5    38.52388762822666        13.317806640356862       -0.3030607012434204
0.135                     0.008979591836734692     -9.99998159838328        -10.7681618602379        1.852484012770208E-5     38.51743906184907        13.315171868375158       -0.31741188131332276
0.135                     0.009387755102040816     -9.999986918420857       -10.754558514046147      -1.1041515518050408E-5   38.51077817736817        13.312418958615073       -0.3317495303250785
0.135                     0.009795918367346938     -9.999995269732576       -10.739792668257847      -4.357849675678928E-5    38.50391509855647        13.309548881745581       -0.346072503541057
0.135                     0.010204081632653062     -10.00000683187772       -10.723793048009787      -7.922351497383903E-5    38.496863162744454       13.306562725477086       -0.36037958438122064
0.135                     0.010612244897959184     -10.000021802393558      -10.706486812686403      -1.180843955225206E-4    38.489636387946426       13.303461726661382       -0.3746694838925911
0.135                     0.011020408163265308     -10.000040397978209      -10.687800177444133      -1.6023269703656124E-4   38.48224944104547        13.300247289087194       -0.38894083944700625
0.135                     0.011428571428571429     -9.999989676803931       -10.66732164082503       -2.9027047247465623E-5   38.47477507010916        13.296920996114107       -0.403192186135016
0.135                     0.01183673469387755      -10.000002632493372      -10.645408737500684      -7.310724842798859E-5    38.467150334582506       13.293484690622684       -0.4174219992485141
0.135                     0.012244897959183675     -10.000019713907921      -10.621880178788993      -1.2058492757975419E-4   38.45941533511891        13.289940424316729       -0.4316286959566863
0.135                     0.012653061224489797     -10.00004121581152       -10.596670084201104      -1.7129637836044352E-4   38.45158643324191        13.286290504899755       -0.4458106209294913
0.135                     0.01306122448979592      -10.0000674564652        -10.569718945407205      -2.2494535443838302E-4   38.44368000270396        13.282537531810533       -0.4599660559342399
0.135                     0.013469387755102043     -9.999968899285241       -10.540574171114574      -7.80995298814424E-5     38.435786619306434       13.278684422945062       -0.4740932112449627
0.135                     0.013877551020408165     -9.999987773073329       -10.509717427044489      -1.357536364708206E-4    38.4278153032404         13.274734510046862       -0.48819022305233184
0.135                     0.014285714285714287     -10.00001191062755       -10.477008172816692      -1.9540444066939742E-4   38.419813078554114       13.270691536147389       -0.5022552648432992
0.135                     0.01469387755102041      -10.000041663678063      -10.442455708098208      -2.5588139197853715E-4   38.4117915268827         13.266559658227944       -0.5162864873581016
0.135                     0.01510204081632653      -10.000077374241322      -10.406101114055021      -3.155167009679457E-4    38.403759322610014       13.262343528526557       -0.5302820662671722
0.135                     0.015510204081632653     -10.000119346930738      -10.368026870884544      -3.719784174778775E-4    38.395721048408014       13.258048345361411       -0.5442402405327356
0.135                     0.015918367346938776     -9.999903823419489       -10.32758649169299       -2.789823121467667E-4    38.38782228732888        13.25367994225006        -0.5581592763405332
0.135                     0.0163265306122449       -9.999931578126164       -10.286380540130178      -3.412778917744783E-4    38.37978933258714        13.249244902224545       -0.572037751890156
0.135                     0.016734693877551023     -9.999964360234342       -10.244201700106007      -3.9183142871417287E-4   38.371706998230174       13.24475043643216        -0.5858744998720546
0.135                     0.017142857142857144     -10.000001239268563      -10.201521846703374      -4.227551313675258E-4    38.3635341454186         13.240204514181858       -0.5996687459660379
0.135                     0.017551020408163264     -10.000039744186624      -10.15899337983409       -4.234735080931047E-4    38.35520703949818        13.235615896133922       -0.6134202823266481
0.135                     0.017959183673469388     -9.999603944167475       -10.11667352984817       -6.337682034076593E-4    38.346814135967975       13.230994172891842       -0.6271296373753007
0.135                     0.018367346938775512     -9.999588263075093       -10.078067376352935      -6.35579655734431E-4     38.337772057581276       13.226349807996817       -0.6407985487175686
0.135                     0.018775510204081632     -9.99959152854887        -10.044074276079538      -4.889713267076313E-4    38.3280444862568         13.221693546076539       -0.6544304734881231
0.135                     0.019183673469387756     -9.999588427208215       -10.017245007494745      -1.4746295002544926E-4   38.31731047273536        13.217035870798002       -0.6680310383622411
0.135                     0.019591836734693877     -9.99941670848792        -10.001582186014472      5.837203518195847E-4     38.305059339591764       13.21238545226425        -0.681609197432355
0.135                     0.02                     -9.999024367685603       -9.999912476829143       7.323471038756114E-4     38.2909086847929         13.207744235258028       -0.695177329827222
0.13570408163265307       0                        -9.747908282164332       -10.656540191951668      -1.3345769664566335E-5   38.374400218334344       13.321947884831053       -5.37968941294475E-19
0.13570408163265307       4.081632653061224E-4     -9.747972113293775       -10.656406894529328      -5.668100267939755E-4    38.37421826006952        13.32188595092736        -0.014250930292312692
0.13570408163265307       8.163265306122448E-4     -9.747982577127507       -10.655946258681304      -0.0011249880075925739   38.37370627082249        13.321700161270831       -0.02850150562816341
