R                       Z                        T
0.135                     0                        313.15
0.135                     4.081632653061224E-4     313.15
0.135                     8.163265306122448E-4     313.15
0.135                     0.0012244897959183673    313.15000000000003
0.135                     0.0016326530612244896    313.1499999999999
0.135                     0.002040816326530612     313.15000000000003
0.135                     0.0024489795918367346    313.15
0.135                     0.002857142857142857     313.15
0.135                     0.0032653061224489793    313.1499999999999
0.135                     0.003673469387755102     313.15000000000003
0.135                     0.004081632653061224     313.15
0.135                     0.004489795918367346     313.15
0.135                     0.004897959183673469     313.1499999999999
0.135                     0.005306122448979591     313.15
0.135                     0.005714285714285714     313.15
0.135                     0.0061224489795918356    313.15
0.135                     0.0065306122448979586    313.1499999999999
0.135                     0.0069387755102040816    313.15
0.135                     0.007346938775510204     313.15000000000003
0.135                     0.007755102040816327     313.15
0.135                     0.008163265306122448     313.15
0.135                     0.008571428571428572     313.15
0.135                     0.008979591836734692     313.15
0.135                     0.009387755102040816     313.1499999999999
0.135                     0.009795918367346938     313.15
0.135                     0.010204081632653062     313.15
0.135                     0.010612244897959184     313.14999999999986
0.135                     0.011020408163265308     313.15000000000003
0.135                     0.011428571428571429     313.1499999999999
0.135                     0.01183673469387755      313.15000000000003
0.135                     0.012244897959183675     313.15
0.135                     0.012653061224489797     313.1499999999999
0.135                     0.01306122448979592      313.15
0.135                     0.013469387755102043     313.1499999999999
0.135                     0.013877551020408165     313.15
0.135                     0.014285714285714287     313.15
0.135                     0.01469387755102041      313.15
0.135                     0.01510204081632653      313.15
0.135                     0.015510204081632653     313.14999999999986
0.135                     0.015918367346938776     313.15
0.135                     0.0163265306122449       313.15000000000003
0.135                     0.016734693877551023     313.15000000000003
0.135                     0.017142857142857144     313.1499999999999
0.135                     0.017551020408163264     313.15000000000003
0.135                     0.017959183673469388     313.15
0.135                     0.018367346938775512     313.1499999999999
0.135                     0.018775510204081632     313.15
0.135                     0.019183673469387756     313.15
0.135                     0.019591836734693877     313.15
0.135                     0.02                     313.15
0.13570408163265307       0                        313.1376736693045
0.13570408163265307       4.081632653061224E-4     313.11253704269046
0.13570408163265307       8.163265306122448E-4     313.0931370113648
0.13570408163265307       0.0012244897959183673    313.0770689304743
0.13570408163265307       0.0016326530612244896    313.06353973327805
0.13570408163265307       0.002040816326530612     313.0520380913045
0.13570408163265307       0.0024489795918367346    313.0419274831312
0.13570408163265307       0.002857142857142857     313.0331850991681
0.13570408163265307       0.0032653061224489793    313.0254136292732
0.13570408163265307       0.003673469387755102     313.01854778825054
0.13570408163265307       0.004081632653061224     313.01247853379385
0.13570408163265307       0.004489795918367346     313.0070393973932
0.13570408163265307       0.004897959183673469     313.00226781331116
0.13570408163265307       0.005306122448979591     312.99799639789273
0.13570408163265307       0.005714285714285714     312.9942361993027
0.13570408163265307       0.0061224489795918356    312.99093039975446
0.13570408163265307       0.0065306122448979586    312.9880146701015
0.13570408163265307       0.0069387755102040816    312.98552326180413
0.13570408163265307       0.007346938775510204     312.9833617673638
0.13570408163265307       0.007755102040816327     312.98156147354564
0.13570408163265307       0.008163265306122448     312.98008176991056
0.13570408163265307       0.008571428571428572     312.9788989738572
0.13570408163265307       0.008979591836734692     312.97804429315477
0.13570408163265307       0.009387755102040816     312.97745628348173
0.13570408163265307       0.009795918367346938     312.9771789845311
0.13570408163265307       0.010204081632653062     312.9771789839352
0.13570408163265307       0.010612244897959184     312.9774562824701
0.13570408163265307       0.011020408163265308     312.9780442903264
0.13570408163265307       0.011428571428571429     312.9788989789653
0.13570408163265307       0.01183673469387755      312.98008176103644
0.13570408163265307       0.012244897959183675     312.98156148682546
0.13570408163265307       0.012653061224489797     312.9833617514443
0.13570408163265307       0.01306122448979592      312.9855232494713
0.13570408163265307       0.013469387755102043     312.9880147737372
0.13570408163265307       0.013877551020408165     312.99093032948537
0.13570408163265307       0.014285714285714287     312.9942364579809
0.13570408163265307       0.01469387755102041      312.99799643876315
0.13570408163265307       0.01510204081632653      313.0022679151071
0.13570408163265307       0.015510204081632653     313.00704008103355
0.13570408163265307       0.015918367346938776     313.01247895282387
0.13570408163265307       0.0163265306122449       313.01854951309843
0.13570408163265307       0.016734693877551023     313.025419184739
0.13570408163265307       0.017142857142857144     313.0331862019851
0.13570408163265307       0.017551020408163264     313.04193722702297
0.13570408163265307       0.017959183673469388     313.05202613434415
0.13570408163265307       0.018367346938775512     313.06355513925763
0.13570408163265307       0.018775510204081632     313.07703149020836
0.13570408163265307       0.019183673469387756     313.09313394045853
0.13570408163265307       0.019591836734693877     313.1126055979216
0.13570408163265307       0.02                     313.13767366930443
0.13640816326530614       0                        313.10137792586426
0.13640816326530614       4.081632653061224E-4     313.060667738294
0.13640816326530614       8.163265306122448E-4     313.0265449277702
0.13640816326530614       0.0012244897959183673    312.9971991893638
0.13640816326530614       0.0016326530612244896    312.9720585011249
0.13640816326530614       0.002040816326530612     312.95004402015144
0.13640816326530614       0.0024489795918367346    312.9308563521749
0.13640816326530614       0.002857142857142857     312.91383878758313
0.13640816326530614       0.0032653061224489793    312.89882901467394
0.13640816326530614       0.003673469387755102     312.8855004212307
0.13640816326530614       0.004081632653061224     312.8735993790425
0.13640816326530614       0.004489795918367346     312.86307190611046
0.13640816326530614       0.004897959183673469     312.85364277833014
0.13640816326530614       0.005306122448979591     312.84531967200627
0.13640816326530614       0.005714285714285714     312.83793581963164
0.13640816326530614       0.0061224489795918356    312.83141755758174
0.13640816326530614       0.0065306122448979586    312.82574869066195
0.13640816326530614       0.0069387755102040816    312.820789362905
0.13640816326530614       0.007346938775510204     312.8165812589338
