R	Z
0.13852042	0.008571428
0.13852042	0.008979592
0.13852042	0.009387755
0.13852042	0.009795918
0.13852042	0.010204081
0.13852042	0.010612245
0.13852042	0.011020407
0.13852042	0.01142857
0.13852042	0.011836735
0.13852042	0.012244898
0.13852042	0.012653061
0.13852042	0.013061225
0.13852042	0.013469388
0.13852042	0.013877551
0.13852042	0.014285714
0.13852042	0.014693878
0.13852042	0.01510204
0.13852042	0.015510203
0.13852042	0.015918367
0.13852042	0.01632653
0.13852042	0.016734693
0.13852042	0.017142856
0.13852042	0.01755102
0.13852042	0.017959183
0.13852042	0.018367346
0.13852042	0.01877551
0.13852042	0.019183673
0.13852042	0.019591836
0.13852042	0.02
0.1392245	0.0
0.1392245	0.00040816324
0.1392245	0.0008163265
0.1392245	0.0012244898
0.1392245	0.001632653
0.1392245	0.0020408162
0.1392245	0.0024489795
0.1392245	0.0028571426
0.1392245	0.003265306
0.1392245	0.0036734694
0.1392245	0.0040816325
0.1392245	0.004489796
0.1392245	0.004897959
0.1392245	0.0053061224
0.1392245	0.005714285
0.1392245	0.006122449
0.1392245	0.006530612
0.1392245	0.006938775
0.1392245	0.007346939
0.1392245	0.0077551017
0.1392245	0.008163265
0.1392245	0.008571428
0.1392245	0.008979592
0.1392245	0.009387755
0.1392245	0.009795918
0.1392245	0.010204081
0.1392245	0.010612245
0.1392245	0.011020407
0.1392245	0.01142857
0.1392245	0.011836735
0.1392245	0.012244898
0.1392245	0.012653061
0.1392245	0.013061225
0.1392245	0.013469388
0.1392245	0.013877551
0.1392245	0.014285714
0.1392245	0.014693878
0.1392245	0.01510204
0.1392245	0.015510203
0.1392245	0.015918367
0.1392245	0.01632653
0.1392245	0.016734693
0.1392245	0.017142856
0.1392245	0.01755102
0.1392245	0.017959183
0.1392245	0.018367346
0.1392245	0.01877551
0.1392245	0.019183673
0.1392245	0.019591836
0.1392245	0.02
0.13992858	0.0
0.13992858	0.00040816324
0.13992858	0.0008163265
0.13992858	0.0012244898
0.13992858	0.001632653
0.13992858	0.0020408162
0.13992858	0.0024489795
0.13992858	0.0028571426
0.13992858	0.003265306
0.13992858	0.0036734694
0.13992858	0.0040816325
0.13992858	0.004489796
0.13992858	0.004897959
0.13992858	0.0053061224
0.13992858	0.005714285
0.13992858	0.006122449
0.13992858	0.006530612
0.13992858	0.006938775
0.13992858	0.007346939
0.13992858	0.0077551017
0.13992858	0.008163265
0.13992858	0.008571428
0.13992858	0.008979592
0.13992858	0.009387755
0.13992858	0.009795918
0.13992858	0.010204081
0.13992858	0.010612245
0.13992858	0.011020407
0.13992858	0.01142857
0.13992858	0.011836735
0.13992858	0.012244898
0.13992858	0.012653061
0.13992858	0.013061225
0.13992858	0.013469388
0.13992858	0.013877551
0.13992858	0.014285714
0.13992858	0.014693878
0.13992858	0.01510204
0.13992858	0.015510203
0.13992858	0.015918367
0.13992858	0.01632653
0.13992858	0.016734693
0.13992858	0.017142856
0.13992858	0.01755102
0.13992858	0.017959183
0.13992858	0.018367346
0.13992858	0.01877551
0.13992858	0.019183673
0.13992858	0.019591836
0.13992858	0.02
0.14063266	0.0
0.14063266	0.00040816324
0.14063266	0.0008163265
0.14063266	0.0012244898
0.14063266	0.001632653
0.14063266	0.0020408162
0.14063266	0.0024489795
0.14063266	0.0028571426
0.14063266	0.003265306
0.14063266	0.0036734694
0.14063266	0.0040816325
0.14063266	0.004489796
0.14063266	0.004897959
0.14063266	0.0053061224
0.14063266	0.005714285
0.14063266	0.006122449
0.14063266	0.006530612
0.14063266	0.006938775
0.14063266	0.007346939
0.14063266	0.0077551017
0.14063266	0.008163265
0.14063266	0.008571428
0.14063266	0.008979592
0.14063266	0.009387755
0.14063266	0.009795918
0.14063266	0.010204081
0.14063266	0.010612245
0.14063266	0.011020407
0.14063266	0.01142857
0.14063266	0.011836735
0.14063266	0.012244898
0.14063266	0.012653061
0.14063266	0.013061225
0.14063266	0.013469388
0.14063266	0.013877551
0.14063266	0.014285714
0.14063266	0.014693878
0.14063266	0.01510204
0.14063266	0.015510203
0.14063266	0.015918367
0.14063266	0.01632653
0.14063266	0.016734693
0.14063266	0.017142856
0.14063266	0.01755102
0.14063266	0.017959183
0.14063266	0.018367346
0.14063266	0.01877551
0.14063266	0.019183673
0.14063266	0.019591836
0.14063266	0.02
0.14133674	0.0
0.14133674	0.00040816324
0.14133674	0.0008163265
0.14133674	0.0012244898
0.14133674	0.001632653
0.14133674	0.0020408162
0.14133674	0.0024489795
0.14133674	0.0028571426
0.14133674	0.003265306
0.14133674	0.0036734694
0.14133674	0.0040816325
0.14133674	0.004489796
0.14133674	0.004897959
0.14133674	0.0053061224
0.14133674	0.005714285
0.14133674	0.006122449
0.14133674	0.006530612
0.14133674	0.006938775
0.14133674	0.007346939
0.14133674	0.0077551017
0.14133674	0.008163265
0.14133674	0.008571428
0.14133674	0.008979592
0.14133674	0.009387755
0.14133674	0.009795918
0.14133674	0.010204081
0.14133674	0.010612245
0.14133674	0.011020407
0.14133674	0.01142857
0.14133674	0.011836735
0.14133674	0.012244898
0.14133674	0.012653061
0.14133674	0.013061225
0.14133674	0.013469388
0.14133674	0.013877551
0.14133674	0.014285714
0.14133674	0.014693878
0.14133674	0.01510204
0.14133674	0.015510203
0.14133674	0.015918367
0.14133674	0.01632653
0.14133674	0.016734693
0.14133674	0.017142856
0.14133674	0.01755102
0.14133674	0.017959183
0.14133674	0.018367346
0.14133674	0.01877551
0.14133674	0.019183673
0.14133674	0.019591836
0.14133674	0.02
0.14204082	0.0
0.14204082	0.00040816324
0.14204082	0.0008163265
0.14204082	0.0012244898
0.14204082	0.001632653
0.14204082	0.0020408162
0.14204082	0.0024489795
0.14204082	0.0028571426
0.14204082	0.003265306
0.14204082	0.0036734694
0.14204082	0.0040816325
0.14204082	0.004489796
0.14204082	0.004897959
0.14204082	0.0053061224
0.14204082	0.005714285
0.14204082	0.006122449
0.14204082	0.006530612
0.14204082	0.006938775
0.14204082	0.007346939
0.14204082	0.0077551017
0.14204082	0.008163265
0.14204082	0.008571428
0.14204082	0.008979592
0.14204082	0.009387755
0.14204082	0.009795918
0.14204082	0.010204081
0.14204082	0.010612245
0.14204082	0.011020407
0.14204082	0.01142857
0.14204082	0.011836735
0.14204082	0.012244898
0.14204082	0.012653061
0.14204082	0.013061225
0.14204082	0.013469388
0.14204082	0.013877551
0.14204082	0.014285714
0.14204082	0.014693878
0.14204082	0.01510204
0.14204082	0.015510203
0.14204082	0.015918367
0.14204082	0.01632653
0.14204082	0.016734693
0.14204082	0.017142856
0.14204082	0.01755102
0.14204082	0.017959183
0.14204082	0.018367346
0.14204082	0.01877551
0.14204082	0.019183673
0.14204082	0.019591836
0.14204082	0.02
0.1427449	0.0
0.1427449	0.00040816324
0.1427449	0.0008163265
0.1427449	0.0012244898
0.1427449	0.001632653
0.1427449	0.0020408162
0.1427449	0.0024489795
0.1427449	0.0028571426
0.1427449	0.003265306
0.1427449	0.0036734694
0.1427449	0.0040816325
0.1427449	0.004489796
0.1427449	0.004897959
0.1427449	0.0053061224
0.1427449	0.005714285
0.1427449	0.006122449
0.1427449	0.006530612
0.1427449	0.006938775
0.1427449	0.007346939
0.1427449	0.0077551017
0.1427449	0.008163265
0.1427449	0.008571428
0.1427449	0.008979592
0.1427449	0.009387755
0.1427449	0.009795918
0.1427449	0.010204081
0.1427449	0.010612245
0.1427449	0.011020407
0.1427449	0.01142857
0.1427449	0.011836735
0.1427449	0.012244898
0.1427449	0.012653061
0.1427449	0.013061225
0.1427449	0.013469388
0.1427449	0.013877551
0.1427449	0.014285714
0.1427449	0.014693878
0.1427449	0.01510204
0.1427449	0.015510203
0.1427449	0.015918367
0.1427449	0.01632653
0.1427449	0.016734693
0.1427449	0.017142856
0.1427449	0.01755102
0.1427449	0.017959183
0.1427449	0.018367346
0.1427449	0.01877551
0.1427449	0.019183673
0.1427449	0.019591836
0.1427449	0.02
0.14344898	0.0
0.14344898	0.00040816324
0.14344898	0.0008163265
0.14344898	0.0012244898
0.14344898	0.001632653
0.14344898	0.0020408162
0.14344898	0.0024489795
0.14344898	0.0028571426
