R                       Z                        T 
0.135                     0                        309.92480208235736
0.135                     4.081632653061224E-4     309.92606078559186
0.135                     8.163265306122448E-4     309.9298409486336
0.135                     0.0012244897959183673    309.9361425714829
0.135                     0.0016326530612244896    309.94496653435715
0.135                     0.002040816326530612     309.95631931356854
0.135                     0.0024489795918367346    309.9702010858502
0.135                     0.002857142857142857     309.9866155334138
0.135                     0.0032653061224489793    310.005574530004
0.135                     0.003673469387755102     310.02707855158553
0.135                     0.004081632653061224     310.0511327598087
0.135                     0.004489795918367346     310.07775467143034
0.135                     0.004897959183673469     310.1069453181198
0.135                     0.005306122448979591     310.1387111493851
0.135                     0.005714285714285714     310.1730754714905
0.135                     0.0061224489795918356    310.2100400783053
0.135                     0.0065306122448979586    310.2496120618461
0.135                     0.0069387755102040816    310.2918208252297
0.135                     0.007346938775510204     310.3366693061994
0.135                     0.007755102040816327     310.3841647062695
0.135                     0.008163265306122448     310.4343425469813
0.135                     0.008571428571428572     310.4872073694605
0.135                     0.008979591836734692     310.54276605077496
0.135                     0.009387755102040816     310.6010600729694
0.135                     0.009795918367346938     310.66209613009266
0.135                     0.010204081632653062     310.72588043250164
0.135                     0.010612244897959184     310.79246003896736
0.135                     0.011020408163265308     310.86184442539013
0.135                     0.011428571428571429     310.9340388949921
0.135                     0.01183673469387755      311.0090954967811
0.135                     0.012244897959183675     311.0870271864242
0.135                     0.012653061224489797     311.1678381654384
0.135                     0.01306122448979592      311.25158465037276
0.135                     0.013469387755102043     311.3382839184884
0.135                     0.013877551020408165     311.42793899227513
0.135                     0.014285714285714287     311.52060905167235
0.135                     0.01469387755102041      311.6163165463678
0.135                     0.01510204081632653      311.71506339803193
0.135                     0.015510204081632653     311.81691024652366
0.135                     0.015918367346938776     311.92188540474194
0.135                     0.0163265306122449       312.0299898182711
0.135                     0.016734693877551023     312.1412839298018
0.135                     0.017142857142857144     312.2558028407324
0.135                     0.017551020408163264     312.37354690244973
0.135                     0.017959183673469388     312.49457387859417
0.135                     0.018367346938775512     312.6189245969267
0.135                     0.018775510204081632     312.74659897365575
0.135                     0.019183673469387756     312.8776466291146
0.135                     0.019591836734693877     313.0121136378961
0.135                     0.02                     313.15
0.13570408163265307       0                        309.9210596220222
0.13570408163265307       4.081632653061224E-4     309.9223185644835
0.13570408163265307       8.163265306122448E-4     309.92609676177136
0.13570408163265307       0.0012244897959183673    309.93239556286215
0.13570408163265307       0.0016326530612244896    309.9412161358609
0.13570408163265307       0.002040816326530612     309.95256268117424
0.13570408163265307       0.0024489795918367346    309.96643736564266
0.13570408163265307       0.002857142857142857     309.98284480552377
0.13570408163265307       0.0032653061224489793    310.0017936166394
0.13570408163265307       0.003673469387755102     310.0232863198796
0.13570408163265307       0.004081632653061224     310.04733074811054
0.13570408163265307       0.004489795918367346     310.0739380080993
0.13570408163265307       0.004897959183673469     310.10311310884236
0.13570408163265307       0.005306122448979591     310.13486668286976
0.13570408163265307       0.005714285714285714     310.16921191967725
0.13570408163265307       0.0061224489795918356    310.2061565873368
0.13570408163265307       0.0065306122448979586    310.2457139701028
0.13570408163265307       0.0069387755102040816    310.2878992358028
0.13570408163265307       0.007346938775510204     310.3327233438314
0.13570408163265307       0.007755102040816327     310.38020182879615
0.13570408163265307       0.008163265306122448     310.430351724817
0.13570408163265307       0.008571428571428572     310.4831877802724
0.13570408163265307       0.008979591836734692     310.53872718728803
0.13570408163265307       0.009387755102040816     310.5969889547763
0.13570408163265307       0.009795918367346938     310.65799191669635
0.13570408163265307       0.010204081632653062     310.7217544652141
0.13570408163265307       0.010612244897959184     310.7882976495997
0.13570408163265307       0.011020408163265308     310.857644816286
0.13570408163265307       0.011428571428571429     310.92981482794073
0.13570408163265307       0.01183673469387755      311.004831088322
0.13570408163265307       0.012244897959183675     311.0827216494877
0.13570408163265307       0.012653061224489797     311.16350517492026
0.13570408163265307       0.01306122448979592      311.2472079821716
0.13570408163265307       0.013469387755102043     311.33386238581755
0.13570408163265307       0.013877551020408165     311.42348690337377
0.13570408163265307       0.014285714285714287     311.51611023935715
0.13570408163265307       0.01469387755102041      311.61176956258504
0.13570408163265307       0.01510204081632653      311.71048250930625
0.13570408163265307       0.015510204081632653     311.81228025688574
0.13570408163265307       0.015918367346938776     311.91720501171557
0.13570408163265307       0.0163265306122449       312.02527208079255
0.13570408163265307       0.016734693877551023     312.13651634902146
0.13570408163265307       0.017142857142857144     312.250982072205
0.13570408163265307       0.017551020408163264     312.3686866902993
0.13570408163265307       0.017959183673469388     312.48966123623046
0.13570408163265307       0.018367346938775512     312.6139592808131
0.13570408163265307       0.018775510204081632     312.74158620090225
0.13570408163265307       0.019183673469387756     312.87259440294196
0.13570408163265307       0.019591836734693877     313.0070183266007
0.13570408163265307       0.02                     313.14486228555575
0.13640816326530614       0                        309.9098606337677
0.13640816326530614       4.081632653061224E-4     309.9111207676343
0.13640816326530614       8.163265306122448E-4     309.91489335837065
0.13640816326530614       0.0012244897959183673    309.921180748158
0.13640816326530614       0.0016326530612244896    309.92998940355625
0.13640816326530614       0.002040816326530612     309.94131875867765
0.13640816326530614       0.0024489795918367346    309.95517042442634
0.13640816326530614       0.002857142857142857     309.9715554576557
0.13640816326530614       0.0032653061224489793    309.9904765324005
0.13640816326530614       0.003673469387755102     310.011934968444
0.13640816326530614       0.004081632653061224     310.03594516048753
0.13640816326530614       0.004489795918367346     310.0625144442033
0.13640816326530614       0.004897959183673469     310.0916440516944
0.13640816326530614       0.005306122448979591     310.123351763608
0.13640816326530614       0.005714285714285714     310.1576480996533
0.13640816326530614       0.0061224489795918356    310.1945362612653
0.13640816326530614       0.0065306122448979586    310.23403630632794
0.13640816326530614       0.0069387755102040816    310.27616156999864
0.13640816326530614       0.007346938775510204     310.3209181363235
0.13640816326530614       0.007755102040816327     310.3683279872029
0.13640816326530614       0.008163265306122448     310.41840702018686
0.13640816326530614       0.008571428571428572     310.47116440134164
0.13640816326530614       0.008979591836734692     310.5266238697241
0.13640816326530614       0.009387755102040816     310.5848038999288
0.13640816326530614       0.009795918367346938     310.6457172050217
0.13640816326530614       0.010204081632653062     310.70938866281415
0.13640816326530614       0.010612244897959184     310.7758394584804
0.13640816326530614       0.011020408163265308     310.8450860020658
0.13640816326530614       0.011428571428571429     310.9171539956064
0.13640816326530614       0.01183673469387755      310.9920674961603
0.13640816326530614       0.012244897959183675     311.06984669307747
0.13640816326530614       0.012653061224489797     311.1505177246286
0.13640816326530614       0.01306122448979592      311.2341077972198
0.13640816326530614       0.013469387755102043     311.3206400627718
0.13640816326530614       0.013877551020408165     311.4101420251949
0.13640816326530614       0.014285714285714287     311.50264365075554
0.13640816326530614       0.01469387755102041      311.5981704228985
0.13640816326530614       0.01510204081632653      311.69675160408934
0.13640816326530614       0.015510204081632653     311.79841996015443
0.13640816326530614       0.015918367346938776     311.90320212831335
0.13640816326530614       0.0163265306122449       312.01113024871876
0.13640816326530614       0.016734693877551023     312.12223913558034
0.13640816326530614       0.017142857142857144     312.23654787722546
0.13640816326530614       0.017551020408163264     312.35410998059604
0.13640816326530614       0.017959183673469388     312.4749503361136
0.13640816326530614       0.018367346938775512     312.5990978985982
0.13640816326530614       0.018775510204081632     312.72659621952045
0.13640816326530614       0.019183673469387756     312.8574475009062
0.13640816326530614       0.019591836734693877     312.9917202598702
0.13640816326530614       0.02                     313.12945295357997
0.1371122448979592        0                        309.89126322294237
0.1371122448979592        4.081632653061224E-4     309.89251564607355
0.1371122448979592        8.163265306122448E-4     309.89627941494626
0.1371122448979592        0.0012244897959183673    309.90255154706637
0.1371122448979592        0.0016326530612244896    309.9113355653084
0.1371122448979592        0.002040816326530612     309.92263697291366
0.1371122448979592        0.0024489795918367346    309.9364578620356
0.1371122448979592        0.002857142857142857     309.95279982155
0.1371122448979592        0.0032653061224489793    309.97167377559254
0.1371122448979592        0.003673469387755102     309.99308219692216
0.1371122448979592        0.004081632653061224     310.0170319045118
0.1371122448979592        0.004489795918367346     310.0435354969926
0.1371122448979592        0.004897959183673469     310.07259668116666
0.1371122448979592        0.005306122448979591     310.1042238283706
0.1371122448979592        0.005714285714285714     310.13843626601454
0.1371122448979592        0.0061224489795918356    310.1752375354082
0.1371122448979592        0.0065306122448979586    310.21463763347293
0.1371122448979592        0.0069387755102040816    310.2566605642626
0.1371122448979592        0.007346938775510204     310.30131166031936
0.1371122448979592        0.007755102040816327     310.34860299441016
0.1371122448979592        0.008163265306122448     310.39856105454203
0.1371122448979592        0.008571428571428572     310.45119485500686
0.1371122448979592        0.008979591836734692     310.5065172950959
0.1371122448979592        0.009387755102040816     310.56455792338
0.1371122448979592        0.009795918367346938     310.625329422717
0.1371122448979592        0.010204081632653062     310.6888458202362
0.1371122448979592        0.010612244897959184     310.75513881485523
0.1371122448979592        0.011020408163265308     310.8242254794816
0.1371122448979592        0.011428571428571429     310.89612101077904
0.1371122448979592        0.01183673469387755      310.9708585392076
