"filename", "language", "Shell Script", "Python", "JSON", "Markdown", "JSON with Comments", "comment", "blank", "total"
"/Users/yst/Documents/本科项目/毕设/PINN-Thermoelastic-F-I/heat_forward/run13.sh", "Shell Script", 24, 0, 0, 0, 0, 5, 8, 37
"/Users/yst/Documents/本科项目/毕设/PINN-Thermoelastic-F-I/heat_forward/run14.sh", "Shell Script", 24, 0, 0, 0, 0, 5, 8, 37
"/Users/yst/Documents/本科项目/毕设/PINN-Thermoelastic-F-I/heat_forward/run15.sh", "Shell Script", 24, 0, 0, 0, 0, 5, 8, 37
"/Users/yst/Documents/本科项目/毕设/PINN-Thermoelastic-F-I/heat_forward/run16.sh", "Shell Script", 24, 0, 0, 0, 0, 5, 8, 37
"/Users/yst/Documents/本科项目/毕设/PINN-Thermoelastic-F-I/heat_forward/run2.sh", "Shell Script", 24, 0, 0, 0, 0, 5, 8, 37
"/Users/yst/Documents/本科项目/毕设/PINN-Thermoelastic-F-I/heat_forward/run3.sh", "Shell Script", 24, 0, 0, 0, 0, 5, 8, 37
"/Users/yst/Documents/本科项目/毕设/PINN-Thermoelastic-F-I/heat_forward/run4.sh", "Shell Script", 24, 0, 0, 0, 0, 5, 8, 37
"/Users/yst/Documents/本科项目/毕设/PINN-Thermoelastic-F-I/heat_forward/run5.sh", "Shell Script", 24, 0, 0, 0, 0, 5, 8, 37
"/Users/yst/Documents/本科项目/毕设/PINN-Thermoelastic-F-I/heat_forward/run6.sh", "Shell Script", 24, 0, 0, 0, 0, 5, 8, 37
"/Users/yst/Documents/本科项目/毕设/PINN-Thermoelastic-F-I/heat_forward/run7.sh", "Shell Script", 24, 0, 0, 0, 0, 5, 8, 37
"/Users/yst/Documents/本科项目/毕设/PINN-Thermoelastic-F-I/heat_forward/run8.sh", "Shell Script", 29, 0, 0, 0, 0, 5, 9, 43
"/Users/yst/Documents/本科项目/毕设/PINN-Thermoelastic-F-I/heat_forward/run9.sh", "Shell Script", 24, 0, 0, 0, 0, 5, 8, 37
"Total", "-", 694, 1920, 3564, 2, 7, 461, 572, 7220
